GelC01G00002	K12818
GelC03G00265	K10739
GelC03G00270	K10406
GelC03G00273	K05925
GelC03G00277	K18726
GelC03G00281	K03231
GelC03G00282	K09122
GelC03G00285	K00275
GelC03G00287	K23313
GelC03G00294	K20307
GelC03G00296	K02964
GelC03G00297	K11128
GelC03G00299	K10357
GelC03G00301	K00059
GelC03G00306	K08511
GelC03G00314	K00472
GelC03G00325	K07374
GelC03G00326	K03259
GelC03G00333	K00265
GelC03G00335	K17972
GelC03G00336	K15718
GelC03G00339	K00559
GelC03G00345	K10842
GelC03G00347	K19525
GelC03G00348	K11752
GelC03G00350	K02838
GelC03G00354	K03428
GelC03G00355	K01228
GelC03G00357	K06630
GelC03G00358	K12849
GelC03G00359	K06126
GelC03G00360	K11269
GelC03G00366	K00799
GelC03G00367	K00799
GelC03G00372	K13513
GelC03G00373	K20858
GelC03G00377	K16296
GelC03G00379	K16296
GelC03G00380	K16296
GelC03G00381	K10293
GelC03G00388	K00826
GelC03G00392	K14963
GelC03G00393	K03327
GelC03G00394	K20032
GelC03G00400	K09587
GelC03G00406	K01051
GelC03G00414	K09264
GelC03G00417	K09264
GelC03G00422	K25796
GelC03G00423	K13379
GelC03G00424	K18635
GelC03G00428	K14649
GelC03G00431	K02872
GelC03G00432	K24983
GelC03G00435	K12741
GelC03G00436	K02136
GelC03G00440	K17108
GelC03G00441	K06072
GelC03G00444	K23107
GelC03G00446	K05280
GelC03G00452	K01188
GelC03G00454	K00901
GelC03G00458	K20867
GelC03G00462	K03263
GelC03G00465	K04508
GelC03G00466	K09595
GelC03G00468	K21398
GelC03G00478	K01784
GelC03G00479	K00430
GelC03G00480	K17783
GelC03G00485	K16292
GelC03G00503	K14571
GelC03G00504	K07297
GelC03G00506	K00860
GelC03G00510	K07025
GelC03G00511	K07025
GelC03G00512	K05387
GelC03G00515	K11254
GelC03G00517	K02984
GelC03G00518	K21843
GelC03G00523	K13789
GelC03G00524	K23872
GelC03G00542	K12849
GelC03G00543	K12175
GelC03G00544	K03217
GelC03G00547	K09338
GelC03G00563	K13811
GelC03G00565	K13448
GelC03G00567	K07950
GelC03G00569	K15397
GelC03G00578	K06268
GelC03G00582	K11699
GelC03G00585	K10523
GelC03G00588	K22685
GelC03G00589	K02980
GelC03G00591	K10886
GelC03G00594	K16075
GelC03G00595	K00383
GelC03G00599	K11778
GelC03G00601	K12591
GelC03G00602	K23010
GelC03G00604	K13993
GelC03G00612	K13464
GelC03G00613	K00921
GelC03G00616	K15397
GelC03G00617	K10717
GelC03G00624	K13947
GelC03G00627	K01953
GelC03G00628	K00847
GelC03G00630	K18757
GelC03G00631	K08869
GelC03G00640	K10696
GelC03G00643	K15121
GelC03G00648	K07562
GelC03G00652	K19054
GelC03G00657	K01915
GelC03G00658	K16055
GelC03G00660	K03934
GelC03G00661	K00207
GelC03G00663	K02981
GelC03G00667	K00276
GelC03G00668	K10268
GelC03G00670	K01810
GelC03G00675	K02437
GelC03G00676	K13151
GelC03G00679	K09775
GelC03G00680	K09775
GelC03G00681	K01638
GelC03G00688	K13107
GelC03G00692	K06901
GelC03G00693	K16054
GelC03G00696	K13126
GelC03G00700	K00033
GelC03G00704	K01726
GelC03G00707	K02685
GelC03G00715	K18753
GelC03G00722	K15631
GelC03G00724	K13947
GelC03G00726	K10401
GelC03G00727	K12823
GelC03G00728	K19042
GelC03G00729	K03676
GelC03G00730	K03011
GelC03G00736	K02898
GelC03G00737	K18693
GelC03G00738	K02563
GelC03G00744	K05765
GelC03G00745	K00677
GelC03G00749	K15397
GelC03G00755	K00975
GelC03G00757	K01724
GelC03G00759	K19937
GelC03G00760	K11130
GelC03G00761	K15227
GelC03G00767	K04125
GelC03G00768	K01000
GelC03G00769	K21971
GelC03G00770	K00979
GelC03G00772	K03514
GelC03G00775	K22132
GelC03G00776	K06171
GelC03G00778	K12586
GelC03G00780	K08272
GelC03G00786	K25366
GelC03G00789	K00106
GelC03G00791	K12236
GelC03G00798	K03327
GelC03G00800	K10999
GelC03G00801	K02981
GelC03G00802	K02981
GelC03G00803	K10999
GelC03G00804	K03243
GelC03G00805	K14411
GelC03G00809	K00857
GelC03G00810	K08867
GelC03G00816	K01469
GelC03G00817	K01469
GelC03G00818	K01469
GelC03G00819	K14489
GelC03G00824	K12837
GelC03G00827	K25869
GelC03G00828	K13250
GelC03G00829	K22763
GelC03G00838	K11644
GelC03G00843	K14549
GelC03G00846	K22262
GelC03G00847	K20347
GelC03G00848	K09419
GelC03G00850	K04712
GelC03G00851	K00963
GelC03G00853	K19366
GelC03G00854	K01191
GelC03G00856	K01322
GelC03G00865	K14780
GelC03G00866	K14780
GelC03G00872	K10870
GelC03G00875	K03231
GelC03G00876	K22596
GelC03G00877	K17479
GelC03G00880	K04715
GelC03G00883	K01409
GelC03G00884	K02938
GelC03G00886	K17479
GelC03G00888	K22596
GelC03G00889	K22596
GelC03G00890	K03231
GelC03G00892	K14950
GelC03G00896	K06662
GelC03G00900	K00948
GelC03G00906	K02931
GelC03G00914	K22073
GelC03G00916	K00311
GelC03G00920	K11592
GelC03G00921	K00799
GelC03G00922	K12133
GelC03G00935	K00655
GelC03G00937	K02962
GelC03G00941	K00083
GelC03G00953	K09872
GelC03G00958	K14432
GelC03G00959	K12195
GelC03G00972	K03094
GelC03G00984	K02942
GelC03G01008	K04077
GelC03G01009	K05610
GelC03G01011	K17479
GelC03G01021	K00889
GelC03G01022	K00051
GelC03G01028	K13066
GelC03G01031	K09872
GelC03G01034	K14402
GelC03G01035	K22912
GelC03G01036	K14500
GelC03G01042	K20924
GelC03G01045	K15262
GelC03G01047	K07937
GelC03G01048	K10949
GelC03G01053	K11877
GelC03G01054	K01148
GelC03G01055	K00472
GelC03G01056	K13348
GelC03G01057	K01530
GelC03G01060	K25840
GelC03G01065	K14397
GelC03G01069	K09422
GelC03G01070	K09533
GelC03G01071	K03966
GelC03G01072	K16055
GelC03G01075	K09422
GelC03G01076	K00913
GelC03G01082	K01876
GelC03G01088	K02881
GelC03G01091	K12451
GelC03G01093	K14962
GelC03G01095	K02136
GelC03G01097	K20628
GelC03G01098	K12893
GelC03G01103	K15451
GelC03G01104	K22763
GelC03G01106	K25164
GelC03G01109	K14550
GelC03G01112	K12877
GelC03G01113	K07304
GelC03G01114	K07304
GelC03G01118	K21444
GelC03G01123	K06268
GelC03G01125	K10663
GelC03G01126	K25304
GelC03G01127	K14648
GelC03G01129	K07441
GelC03G01132	K00028
GelC03G01136	K16281
GelC03G01138	K22047
GelC03G01142	K12897
GelC03G01144	K13945
GelC03G01146	K09422
GelC03G01147	K07513
GelC03G01156	K22911
GelC03G01158	K03676
GelC03G01159	K08869
GelC03G01161	K21437
GelC03G01162	K06210
GelC03G01164	K02894
GelC03G01165	K24350
GelC03G01168	K18881
GelC03G01172	K03648
GelC03G01174	K06125
GelC03G01175	K14492
GelC03G01184	K09828
GelC03G01185	K22746
GelC03G01188	K14015
GelC03G01194	K00254
GelC03G01196	K12871
GelC03G01197	K10845
GelC03G01198	K25507
GelC03G01206	K01892
GelC03G01208	K06185
GelC03G01211	K08176
GelC03G01213	K08176
GelC03G01223	K14944
GelC03G01227	K13448
GelC03G01228	K09646
GelC03G01229	K11252
GelC03G01234	K09598
GelC03G01237	K11446
GelC03G01239	K12614
GelC03G01244	K03781
GelC03G01246	K03671
GelC03G01248	K15377
GelC03G01249	K13095
GelC03G01251	K25840
GelC03G01252	K09015
GelC03G01253	K01988
GelC03G01255	K01183
GelC03G01256	K01183
GelC03G01261	K14649
GelC03G01262	K04077
GelC03G01263	K24940
GelC03G01268	K24940
GelC03G01276	K10666
GelC03G01278	K21989
GelC03G01279	K01904
GelC03G01280	K00938
GelC03G01281	K09287
GelC03G01282	K05658
GelC03G01284	K01904
GelC03G01285	K20924
GelC03G01286	K00630
GelC03G01289	K07024
GelC03G01296	K12896
GelC03G01299	K02355
GelC03G01300	K09422
GelC03G01306	K09422
GelC03G01307	K14837
GelC03G01320	K01711
GelC03G01326	K19042
GelC03G01328	K01177
GelC03G01332	K14498
GelC03G01334	K00261
GelC03G01337	K16912
GelC03G01340	K07874
GelC03G01343	K09286
GelC03G01345	K22763
GelC03G01347	K12815
GelC03G01349	K20368
GelC03G01350	K10885
GelC03G01352	K15292
GelC03G01356	K02969
GelC03G01358	K20856
GelC03G01360	K20178
GelC03G01363	K22985
GelC03G01364	K13161
GelC03G01369	K15032
GelC03G01370	K11253
GelC03G01371	K11275
GelC03G01374	K01714
GelC03G01376	K12734
GelC03G01378	K20718
GelC03G01381	K01206
GelC03G01391	K11816
GelC03G01393	K03139
GelC03G01396	K02936
GelC03G01397	K15109
GelC03G01405	K19761
GelC03G01409	K12493
GelC03G01411	K13422
GelC03G01419	K13448
GelC03G01420	K20291
GelC03G01426	K17839
GelC03G01428	K13811
GelC03G01432	K12874
GelC03G01433	K06620
GelC03G01434	K10686
GelC03G01437	K02946
GelC03G01443	K19323
GelC03G01449	K00001
GelC03G01450	K14488
GelC03G01466	K01835
GelC03G01470	K03327
GelC03G01472	K15523
GelC03G01473	K12831
GelC03G01474	K02206
GelC03G01476	K12472
GelC03G01482	K14548
GelC03G01484	K20547
GelC03G01485	K14500
GelC03G01489	K00012
GelC03G01491	K00993
GelC03G01492	K22048
GelC03G01494	K00652
GelC03G01497	K00799
GelC03G01503	K14165
GelC03G01504	K14165
GelC03G01505	K14961
GelC03G01506	K17782
GelC03G01511	K18466
GelC03G01513	K07760
GelC03G01523	K01681
GelC03G01524	K13412
GelC03G01528	K20241
GelC03G01529	K25163
GelC03G01532	K12855
GelC03G01537	K16281
GelC03G01540	K20600
GelC03G01541	K11135
GelC03G01542	K03163
GelC03G01543	K07877
GelC03G01544	K11792
GelC03G01545	K16302
GelC03G01546	K22809
GelC03G01553	K09422
GelC03G01554	K00344
GelC03G01556	K02884
GelC03G01557	K20290
GelC03G01558	K17912
GelC03G01560	K17912
GelC03G01561	K17912
GelC03G01564	K09873
GelC03G01565	K09873
GelC03G01568	K05236
GelC03G01569	K10727
GelC03G01570	K08343
GelC03G01573	K10268
GelC03G01574	K14496
GelC03G01579	K20353
GelC03G01581	K22966
GelC03G01584	K01087
GelC03G01585	K01431
GelC03G01586	K11254
GelC03G01589	K02905
GelC03G01592	K23490
GelC03G01593	K25877
GelC03G01595	K17794
GelC03G01596	K24345
GelC03G01603	K09422
GelC03G01606	K01784
GelC03G01608	K03217
GelC03G01609	K19044
GelC03G01613	K09560
GelC03G01618	K21804
GelC03G01620	K03424
GelC03G01621	K02155
GelC03G01623	K12345
GelC03G01630	K04569
GelC03G01632	K20403
GelC03G01633	K08242
GelC03G01635	K13917
GelC03G01637	K13800
GelC03G01642	K08829
GelC03G01650	K14403
GelC03G01651	K18670
GelC03G01661	K01079
GelC04G00001	K02976
GelC04G00004	K13176
GelC04G00013	K12857
GelC04G00014	K01456
GelC04G00015	K21777
GelC04G00016	K05750
GelC04G00017	K17906
GelC04G00019	K03327
GelC04G00020	K10695
GelC04G00021	K01094
GelC04G00022	K17506
GelC04G00026	K05907
GelC04G00027	K19891
GelC04G00029	K08066
GelC04G00030	K13412
GelC04G00032	K24246
GelC04G00034	K01785
GelC04G00036	K05387
GelC04G00040	K08486
GelC04G00041	K10862
GelC04G00044	K15322
GelC04G00045	K00430
GelC04G00048	K11251
GelC04G00055	K15341
GelC04G00056	K14556
GelC04G00057	K02866
GelC04G00058	K20781
GelC04G00059	K16572
GelC04G00060	K15014
GelC04G00061	K15014
GelC04G00062	K05391
GelC04G00063	K17086
GelC04G00064	K17968
GelC04G00066	K04718
GelC04G00071	K18643
GelC04G00073	K09843
GelC04G00074	K18758
GelC04G00075	K14792
GelC04G00082	K14842
GelC04G00083	K08592
GelC04G00085	K12890
GelC04G00086	K17108
GelC04G00091	K08678
GelC04G00092	K22419
GelC04G00095	K03242
GelC04G00101	K15382
GelC04G00102	K09699
GelC04G00103	K14593
GelC04G00110	K01051
GelC04G00112	K02885
GelC04G00114	K08238
GelC04G00124	K25796
GelC04G00125	K00962
GelC04G00127	K12124
GelC04G00136	K08244
GelC04G00139	K16903
GelC04G00142	K20607
GelC04G00144	K00876
GelC04G00147	K03921
GelC04G00148	K10782
GelC04G00149	K13456
GelC04G00150	K13448
GelC04G00151	K14009
GelC04G00157	K01495
GelC04G00162	K03165
GelC04G00165	K02912
GelC04G00168	K22696
GelC04G00170	K10685
GelC04G00172	K14493
GelC04G00174	K01923
GelC04G00175	K03444
GelC04G00178	K06067
GelC04G00183	K05681
GelC04G00184	K03549
GelC04G00185	K02138
GelC04G00188	K11654
GelC04G00190	K07025
GelC04G00191	K08819
GelC04G00192	K00573
GelC04G00201	K03768
GelC04G00202	K19882
GelC04G00203	K03064
GelC04G00204	K15376
GelC04G00208	K12823
GelC04G00213	K11797
GelC04G00219	K01755
GelC04G00220	K03017
GelC04G00222	K01913
GelC04G00226	K10728
GelC04G00230	K25827
GelC04G00231	K13832
GelC04G00239	K22913
GelC04G00241	K12839
GelC04G00249	K22611
GelC04G00250	K03544
GelC04G00268	K15042
GelC04G00273	K10406
GelC04G00274	K21867
GelC04G00275	K03327
GelC04G00276	K07561
GelC04G00277	K21398
GelC04G00281	K02935
GelC04G00283	K09422
GelC04G00286	K22218
GelC04G00287	K10638
GelC04G00289	K22418
GelC04G00291	K11592
GelC04G00292	K13430
GelC04G00293	K09833
GelC04G00296	K00430
GelC04G00301	K00787
GelC04G00303	K14962
GelC04G00308	K24758
GelC04G00310	K12396
GelC04G00313	K21444
GelC04G00315	K24405
GelC04G00317	K00924
GelC04G00319	K10268
GelC04G00323	K03070
GelC04G00325	K20780
GelC04G00326	K00789
GelC04G00327	K08494
GelC04G00333	K12602
GelC04G00334	K07953
GelC04G00335	K02210
GelC04G00336	K14492
GelC04G00337	K11292
GelC04G00338	K13211
GelC04G00341	K03062
GelC04G00345	K01142
GelC04G00348	K11126
GelC04G00350	K14674
GelC04G00351	K14674
GelC04G00353	K14508
GelC04G00357	K04506
GelC04G00359	K01904
GelC04G00360	K19199
GelC04G00362	K14016
GelC04G00363	K21843
GelC04G00367	K07937
GelC04G00369	K07575
GelC04G00370	K14509
GelC04G00371	K13448
GelC04G00377	K19034
GelC04G00378	K03845
GelC04G00380	K03650
GelC04G00381	K06184
GelC04G00382	K08818
GelC04G00386	K09754
GelC04G00387	K17744
GelC04G00388	K17744
GelC04G00389	K07342
GelC04G00390	K07342
GelC04G00391	K10798
GelC04G00398	K02934
GelC04G00404	K09272
GelC04G00405	K22848
GelC04G00408	K13096
GelC04G00413	K01183
GelC04G00418	K22803
GelC04G00421	K07870
GelC04G00426	K00789
GelC04G00427	K02878
GelC04G00428	K12848
GelC04G00434	K03241
GelC04G00440	K08490
GelC04G00441	K15199
GelC04G00442	K01464
GelC04G00443	K02183
GelC04G00444	K17619
GelC04G00446	K00109
GelC04G00447	K00600
GelC04G00448	K00600
GelC04G00449	K06133
GelC04G00450	K00600
GelC04G00455	K01733
GelC04G00456	K21596
GelC04G00457	K13447
GelC04G00458	K20472
GelC04G00459	K19042
GelC04G00466	K10747
GelC04G00467	K10753
GelC04G00469	K10669
GelC04G00470	K02935
GelC04G00471	K02540
GelC04G00473	K03549
GelC04G00476	K09286
GelC04G00479	K07766
GelC04G00480	K14844
GelC04G00481	K00660
GelC04G00483	K11511
GelC04G00484	K01179
GelC04G00485	K12198
GelC04G00486	K00928
GelC04G00490	K21737
GelC04G00491	K13412
GelC04G00493	K02953
GelC04G00494	K02953
GelC04G00495	K24081
GelC04G00498	K07910
GelC04G00504	K05282
GelC04G00505	K15436
GelC04G00506	K25203
GelC04G00512	K11583
GelC04G00513	K19044
GelC04G00515	K15442
GelC04G00518	K08790
GelC04G00519	K14442
GelC04G00521	K24760
GelC04G00522	K14788
GelC04G00526	K08150
GelC04G00534	K02328
GelC04G00535	K13412
GelC04G00538	K01358
GelC04G00539	K16280
GelC04G00540	K10576
GelC04G00542	K05287
GelC04G00543	K08472
GelC04G00546	K20027
GelC04G00547	K08852
GelC04G00554	K14439
GelC04G00555	K07889
GelC04G00562	K15053
GelC04G00564	K19882
GelC04G00565	K15148
GelC04G00569	K08790
GelC04G00571	K16290
GelC04G00573	K03133
GelC04G00579	K03262
GelC04G00586	K00924
GelC04G00588	K02945
GelC04G00595	K23002
GelC04G00596	K05956
GelC04G00599	K13436
GelC04G00610	K25786
GelC04G00615	K01358
GelC04G00622	K09285
GelC04G00623	K11968
GelC04G00624	K11649
GelC04G00626	K13412
GelC04G00627	K22824
GelC04G00628	K05955
GelC04G00629	K21842
GelC04G00630	K12869
GelC04G00631	K10536
GelC04G00637	K01180
GelC04G00638	K11129
GelC04G00639	K00430
GelC04G00640	K01209
GelC04G00644	K01698
GelC04G00646	K13120
GelC04G00647	K14207
GelC04G00648	K10908
GelC04G00649	K14207
GelC04G00652	K23567
GelC04G00654	K01076
GelC04G00655	K07555
GelC04G00656	K09487
GelC04G00666	K14398
GelC04G00671	K15445
GelC04G00673	K01148
GelC04G00674	K03500
GelC04G00677	K16569
GelC04G00678	K17545
GelC04G00679	K14209
GelC04G00682	K12394
GelC04G00685	K20884
GelC04G00686	K01051
GelC04G00687	K01090
GelC04G00690	K15361
GelC04G00691	K18163
GelC04G00696	K03252
GelC04G00697	K14289
GelC04G00699	K10879
GelC04G00701	K11273
GelC04G00703	K11437
GelC04G00707	K03501
GelC04G00709	K15633
GelC04G00711	K15633
GelC04G00712	K12120
GelC04G00714	K13179
GelC04G00721	K02906
GelC04G00726	K09875
GelC04G00732	K18045
GelC04G00733	K09584
GelC04G00745	K23025
GelC04G00747	K15156
GelC04G00748	K03860
GelC04G00753	K02864
GelC04G00770	K15601
GelC04G00773	K23877
GelC04G00779	K21772
GelC04G00786	K01904
GelC04G00787	K01904
GelC04G00795	K23164
GelC04G00796	K08057
GelC04G00805	K01246
GelC04G00810	K20308
GelC04G00814	K20308
GelC04G00819	K12592
GelC04G00821	K07018
GelC04G00823	K02908
GelC04G00825	K09753
GelC04G00832	K10858
GelC04G00840	K03263
GelC04G00854	K06693
GelC04G00861	K09580
GelC04G00862	K03100
GelC04G00867	K01090
GelC04G00868	K13754
GelC04G00871	K01893
GelC04G00874	K12581
GelC04G00880	K03354
GelC04G00882	K20783
GelC04G00886	K15026
GelC04G00887	K22756
GelC04G00890	K25059
GelC04G00891	K03240
GelC04G00892	K03240
GelC04G00894	K03240
GelC04G00915	K13448
GelC04G00916	K19706
GelC04G00917	K16219
GelC04G00920	K20617
GelC04G00923	K03955
GelC04G00924	K00225
GelC04G00926	K01647
GelC04G00927	K09422
GelC04G00934	K14769
GelC04G00935	K00820
GelC04G00937	K14398
GelC04G00940	K11416
GelC04G00941	K10859
GelC04G00942	K03955
GelC04G00943	K09567
GelC04G00944	K23280
GelC04G00948	K14207
GelC04G00954	K02739
GelC04G00971	K09338
GelC04G00974	K00128
GelC04G00977	K25507
GelC04G00979	K20456
GelC04G00982	K05761
GelC04G00983	K09422
GelC04G00984	K14545
GelC04G00987	K01663
GelC04G00989	K13463
GelC04G00993	K14638
GelC04G00997	K08193
GelC04G01016	K12599
GelC04G01017	K20723
GelC04G01018	K14682
GelC04G01026	K01930
GelC04G01028	K00801
GelC04G01029	K14191
GelC04G01030	K00002
GelC04G01031	K03126
GelC04G01032	K23871
GelC04G01053	K09422
GelC04G01058	K17777
GelC04G01062	K06133
GelC04G01065	K03104
GelC04G01066	K03283
GelC04G01068	K12191
GelC04G01072	K10575
GelC04G01073	K11252
GelC04G01074	K11252
GelC04G01075	K11251
GelC04G01076	K07901
GelC04G01078	K11252
GelC04G01079	K18368
GelC04G01081	K07195
GelC04G01084	K22985
GelC04G01086	K03539
GelC04G01090	K00995
GelC04G01098	K10355
GelC04G01099	K20890
GelC04G01100	K00434
GelC04G01101	K08065
GelC04G01103	K09481
GelC04G01107	K11251
GelC04G01110	K14972
GelC04G01115	K03178
GelC04G01123	K14815
GelC04G01128	K15285
GelC04G01136	K15078
GelC04G01146	K15414
GelC04G01147	K00895
GelC04G01156	K05909
GelC04G01157	K03538
GelC04G01162	K10733
GelC04G01163	K03145
GelC04G01164	K15025
GelC04G01168	K11717
GelC04G01171	K07760
GelC04G01172	K01522
GelC04G01175	K12236
GelC04G01178	K20858
GelC04G01179	K13648
GelC04G01181	K00297
GelC04G01188	K06268
GelC04G01189	K15777
GelC04G01190	K15777
GelC04G01192	K12194
GelC04G01193	K17427
GelC04G01198	K00002
GelC04G01203	K00033
GelC04G01204	K02879
GelC04G01205	K02893
GelC04G01210	K00279
GelC04G01220	K11294
GelC04G01222	K12824
GelC04G01224	K12824
GelC04G01230	K16297
GelC04G01239	K24634
GelC04G01240	K13431
GelC04G01241	K17686
GelC04G01243	K00318
GelC04G01244	K00432
GelC04G01245	K11254
GelC04G01249	K14423
GelC04G01250	K16298
GelC04G01251	K18932
GelC04G01253	K04523
GelC04G01258	K09422
GelC04G01261	K01206
GelC04G01265	K15803
GelC04G01269	K15803
GelC04G01275	K02887
GelC04G01277	K13280
GelC04G01278	K05765
GelC04G01280	K09659
GelC04G01282	K24742
GelC04G01283	K18826
GelC04G01285	K13946
GelC04G01289	K00215
GelC04G01292	K22733
GelC04G01293	K01802
GelC04G01294	K13249
GelC04G01296	K01803
GelC04G01303	K11000
GelC04G01306	K14832
GelC04G01307	K14832
GelC04G01315	K11420
GelC04G01322	K20858
GelC04G01323	K03671
GelC04G01324	K10666
GelC04G01325	K02939
GelC04G01334	K05681
GelC04G01336	K17943
GelC04G01338	K13525
GelC04G01345	K01904
GelC04G01347	K14779
GelC04G01349	K14779
GelC04G01352	K16587
GelC04G01354	K12879
GelC04G01359	K03327
GelC04G01365	K11547
GelC04G01368	K09419
GelC04G01369	K03881
GelC04G01370	K02153
GelC04G01373	K00924
GelC04G01377	K23872
GelC04G01383	K01551
GelC04G01386	K01641
GelC04G01387	K10357
GelC04G01388	K22807
GelC04G01389	K23025
GelC04G01391	K14484
GelC04G01393	K01728
GelC04G01394	K01728
GelC04G01402	K09873
GelC04G01403	K07910
GelC04G01411	K25366
GelC04G01414	K01256
GelC04G01415	K13034
GelC04G01427	K24070
GelC04G01437	K12606
GelC04G01441	K05531
GelC04G01445	K13205
GelC04G01449	K23398
GelC04G01451	K19729
GelC04G01453	K09422
GelC04G01455	K11437
GelC04G01456	K10747
GelC04G01464	K06640
GelC04G01465	K03327
GelC04G01466	K05605
GelC04G01469	K03549
GelC04G01473	K20301
GelC04G01480	K10590
GelC04G01485	K01735
GelC04G01487	K09422
GelC04G01490	K11644
GelC04G01495	K05681
GelC04G01501	K01177
GelC04G01512	K15362
GelC04G01514	K18195
GelC04G01516	K22184
GelC04G01525	K01115
GelC04G01527	K01102
GelC04G01528	K08999
GelC04G01532	K12897
GelC04G01536	K11804
GelC04G01538	K18185
GelC04G01541	K14396
GelC04G01549	K09286
GelC04G01552	K24940
GelC04G01560	K11420
GelC04G01563	K16297
GelC04G01564	K11340
GelC04G01572	K09264
GelC04G01573	K03130
GelC04G01579	K01179
GelC04G01586	K11498
GelC04G01588	K04043
GelC04G01589	K01770
GelC04G01592	K01057
GelC04G01595	K11718
GelC04G01596	K00232
GelC04G01602	K03798
GelC04G01603	K00616
GelC04G01605	K08495
GelC04G01610	K10355
GelC04G01611	K11824
GelC04G01616	K24736
GelC04G01618	K17541
GelC04G01622	K06676
GelC04G01623	K21806
GelC04G01626	K08869
GelC04G01627	K21989
GelC05G00000	K00854
GelC05G00002	K10401
GelC05G00003	K10401
GelC05G00012	K13436
GelC05G00015	K03125
GelC05G00016	K03016
GelC05G00017	K07936
GelC05G00018	K24970
GelC05G00019	K07152
GelC05G00020	K05284
GelC05G00021	K11314
GelC05G00028	K03020
GelC05G00029	K21866
GelC05G00030	K02932
GelC05G00031	K01188
GelC05G00041	K01937
GelC05G00058	K02358
GelC05G00060	K01527
GelC05G00062	K08054
GelC05G00065	K16329
GelC05G00067	K04681
GelC05G00068	K07766
GelC05G00073	K03505
GelC05G00074	K20870
GelC05G00075	K02911
GelC05G00079	K03696
GelC05G00083	K14772
GelC05G00086	K14772
GelC05G00090	K07432
GelC05G00092	K00654
GelC05G00099	K02936
GelC05G00100	K18730
GelC05G00101	K17279
GelC05G00104	K13095
GelC05G00107	K17616
GelC05G00108	K03188
GelC05G00111	K22390
GelC05G00112	K22390
GelC05G00121	K15601
GelC05G00122	K09286
GelC05G00129	K08867
GelC05G00131	K15210
GelC05G00132	K18787
GelC05G00134	K18787
GelC05G00136	K15414
GelC05G00138	K01408
GelC05G00144	K01184
GelC05G00145	K21398
GelC05G00149	K06627
GelC05G00152	K06627
GelC05G00154	K22069
GelC05G00155	K20867
GelC05G00156	K07964
GelC05G00159	K20027
GelC05G00161	K21989
GelC05G00163	K09550
GelC05G00164	K25784
GelC05G00168	K10756
GelC05G00170	K03116
GelC05G00171	K09500
GelC05G00173	K10085
GelC05G00174	K06627
GelC05G00176	K14484
GelC05G00177	K16586
GelC05G00181	K01802
GelC05G00185	K18204
GelC05G00187	K10950
GelC05G00189	K24739
GelC05G00192	K21444
GelC05G00195	K24193
GelC05G00196	K02209
GelC05G00198	K01535
GelC05G00201	K02260
GelC05G00202	K01255
GelC05G00204	K01850
GelC05G00205	K18179
GelC05G00214	K01836
GelC05G00216	K12581
GelC05G00218	K22072
GelC05G00219	K03065
GelC05G00224	K01148
GelC05G00225	K16055
GelC05G00226	K05391
GelC05G00227	K15281
GelC05G00228	K01115
GelC05G00233	K09648
GelC05G00234	K22763
GelC05G00241	K19044
GelC05G00243	K18468
GelC05G00245	K17908
GelC05G00250	K02913
GelC05G00252	K03715
GelC05G00253	K09285
GelC05G00257	K16297
GelC05G00258	K12842
GelC05G00262	K06268
GelC05G00263	K00432
GelC05G00267	K08850
GelC05G00268	K05387
GelC05G00269	K11097
GelC05G00271	K17261
GelC05G00272	K12930
GelC05G00273	K09422
GelC05G00275	K01904
GelC05G00287	K00327
GelC05G00291	K12845
GelC05G00293	K10525
GelC05G00295	K01535
GelC05G00300	K14849
GelC05G00301	K17506
GelC05G00305	K07192
GelC05G00310	K07195
GelC05G00317	K08486
GelC05G00318	K03695
GelC05G00320	K02937
GelC05G00325	K10583
GelC05G00327	K00306
GelC05G00329	K03123
GelC05G00330	K02929
GelC05G00334	K18469
GelC05G00340	K03257
GelC05G00341	K12828
GelC05G00342	K14488
GelC05G00344	K02970
GelC05G00346	K01961
GelC05G00349	K06691
GelC05G00351	K07432
GelC05G00353	K01853
GelC05G00354	K22503
GelC05G00357	K19893
GelC05G00359	K02960
GelC05G00361	K09286
GelC05G00362	K13126
GelC05G00370	K08711
GelC05G00374	K13051
GelC05G00381	K15281
GelC05G00389	K12948
GelC05G00394	K24220
GelC05G00395	K23801
GelC05G00397	K17892
GelC05G00399	K18167
GelC05G00404	K22614
GelC05G00408	K11138
GelC05G00409	K20043
GelC05G00410	K25207
GelC05G00415	K07964
GelC05G00421	K05539
GelC05G00423	K01528
GelC05G00429	K01889
GelC05G00432	K12890
GelC05G00436	K12502
GelC05G00437	K12502
GelC05G00440	K01623
GelC05G00444	K04728
GelC05G00447	K02256
GelC05G00449	K03868
GelC05G00451	K04506
GelC05G00453	K24139
GelC05G00459	K10752
GelC05G00461	K14515
GelC05G00466	K01115
GelC05G00467	K17808
GelC05G00468	K11644
GelC05G00470	K04498
GelC05G00471	K16903
GelC05G00472	K08360
GelC05G00474	K06173
GelC05G00476	K03231
GelC05G00477	K14683
GelC05G00481	K12236
GelC05G00482	K08232
GelC05G00489	K17422
GelC05G00490	K17422
GelC05G00491	K15340
GelC05G00501	K13137
GelC05G00505	K12124
GelC05G00506	K12124
GelC05G00511	K04460
GelC05G00513	K12896
GelC05G00514	K00326
GelC05G00519	K11985
GelC05G00520	K13680
GelC05G00522	K14506
